product_id,name,category,price,description,rating,num_reviews,image_url,in_stock,tags,brand,views,purchases
1,Samsung Galaxy S24 Ultra 5G,Smartphones,1350000,"Samsung's flagship with 200MP camera, S-Pen, AI features, 5000mAh battery, Snapdragon 8 Gen 3",4.8,342,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=400,True,"smartphones,samsung,samsung's flagship with 200mp camera",Samsung,2353,135
2,iPhone 15 Pro Max,Smartphones,1650000,"Apple's premium smartphone with titanium design, A17 Pro chip, 48MP camera system, USB-C",4.7,129,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=400,True,"smartphones,iphone,apple's premium smartphone with titanium design",iPhone,939,356
3,Samsung Galaxy A54,Smartphones,420000,"Mid-range Samsung with 50MP camera, 5000mAh battery, 6.4-inch Super AMOLED display",4.5,294,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=400,False,"smartphones,samsung,mid-range samsung with 50mp camera",Samsung,3556,26
4,Tecno Camon 30 Pro,Smartphones,185000,"Tecno flagship with 50MP portrait camera, 5000mAh battery, MediaTek Helio G99",4.3,30,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=400,False,"smartphones,tecno,tecno flagship with 50mp portrait camera",Tecno,2005,268
5,Infinix Note 40 Pro,Smartphones,175000,"6.78-inch display, 108MP camera, 45W fast charging, Helio G99 Ultra processor",4.2,323,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=400,False,"smartphones,infinix,6.78-inch display",Infinix,1728,376
6,iPhone 14,Smartphones,950000,"Apple iPhone 14 with A15 Bionic, 12MP dual camera, Crash Detection, Emergency SOS",4.6,347,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=400,True,"smartphones,iphone,apple iphone 14 with a15 bionic",iPhone,3536,122
7,Xiaomi 14 Ultra,Smartphones,1100000,"Leica quad camera, Snapdragon 8 Gen 3, 90W HyperCharge, 5000mAh battery",4.7,244,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=400,True,"smartphones,xiaomi,leica quad camera",Xiaomi,153,398
8,Samsung Galaxy S23 FE,Smartphones,600000,"Fan Edition with Snapdragon 8 Gen 1, 50MP camera, 4500mAh battery, IP68 rating",4.4,96,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=400,True,"smartphones,samsung,fan edition with snapdragon 8 gen 1",Samsung,2887,152
9,Oppo Reno 11 Pro,Smartphones,380000,"50MP triple camera, 80W SuperVOOC charging, 6.7-inch curved AMOLED, 4600mAh",4.3,94,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=400,True,"smartphones,oppo,50mp triple camera",Oppo,2857,62
10,Google Pixel 8 Pro,Smartphones,1200000,"Google Tensor G3, 50MP camera with AI features, 7 years of updates, 5050mAh",4.6,62,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=400,True,"smartphones,google,google tensor g3",Google,3040,443
